,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,41,42,43,49,50,51,52,53,54,55,56,57,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,81,82,83,411,415,418
13:51,,,10,20,15,,5,10,5,5,50,5,80,25,30,15,,10,10,40,10,25,15,10,45,30,,,20,,15,,50,20,35,70,10,60,35,35,5,20,10,60,110,10,15,25,5,20,10,75,50,5,15,5,30,5,20,15,25,10,25,20,,70,40,50,70,50,40,40,45,,50,170
13:53,,,10,15,15,,5,10,5,5,50,5,80,25,30,15,,10,10,40,10,20,15,10,45,30,,,20,,20,,50,20,35,70,10,60,35,30,5,20,5,50,110,10,15,25,5,20,10,70,50,5,15,5,45,5,20,15,20,10,25,20,,70,40,50,70,50,40,40,45,,50,170
13:55,,,10,15,15,,5,10,5,5,50,5,80,25,30,15,,10,10,40,10,20,15,10,45,30,,,20,,20,,50,20,35,70,10,60,35,30,5,20,5,50,110,10,15,25,5,20,10,70,50,5,15,5,45,5,20,15,20,10,25,20,,70,40,50,70,50,40,40,45,,50,170
13:57,,,10,15,15,,5,10,5,5,50,5,80,25,30,15,,10,10,40,10,20,15,10,45,30,,,20,,20,,50,20,35,70,10,60,35,30,5,20,5,50,110,10,15,25,5,20,10,70,50,5,15,5,45,5,20,15,20,10,25,20,,70,40,50,70,50,40,40,45,,50,170
13:59,,,10,15,15,,5,10,5,5,50,5,80,25,25,20,,10,10,40,10,20,10,5,45,30,,,15,,20,,50,25,35,70,10,60,35,25,5,20,5,50,110,10,15,25,5,20,10,70,50,5,15,5,45,5,20,15,15,10,25,20,,80,40,50,70,50,40,40,45,,50,170
14:1,,,10,20,15,,5,10,5,5,50,5,80,25,25,20,,10,10,30,10,20,10,5,45,30,,,15,,20,,50,30,35,50,10,60,35,35,5,20,5,50,110,10,15,25,5,20,10,70,50,5,10,5,45,5,25,15,10,10,25,20,,90,35,50,70,60,50,40,45,,50,170
14:3,,,10,20,15,,5,10,5,5,50,5,80,25,25,20,,10,10,30,10,20,10,5,45,30,,,15,,20,,50,30,35,50,10,60,35,35,5,20,5,50,110,10,15,25,5,20,10,70,50,5,10,5,45,5,25,15,10,10,25,20,,90,35,50,70,50,40,40,45,,50,150
14:5,,,10,20,10,0,5,10,5,5,50,5,80,25,25,20,終日中止,10,5,30,10,20,10,5,45,30,0,0,15,0,15,,50,30,35,50,10,60,35,35,5,20,5,50,110,10,15,25,5,20,10,70,50,5,10,5,45,5,25,15,10,10,25,20,,90,35,50,70,60,50,40,45,,50,150
14:7,,,10,20,10,0,5,10,5,5,50,5,80,25,25,15,終日中止,10,5,30,10,20,10,5,45,30,0,0,15,0,15,,60,30,35,50,10,60,35,35,5,20,5,50,100,10,15,25,5,20,10,70,50,5,10,5,45,5,25,15,35,10,25,20,,90,35,50,70,50,50,40,45,,50,150
14:9,,,10,20,10,0,5,10,5,5,50,5,80,25,25,15,終日中止,10,10,30,10,20,10,5,50,30,0,0,15,0,15,,60,30,35,50,10,60,35,35,5,20,5,50,100,10,15,25,5,20,15,70,50,5,10,5,45,5,25,15,35,10,25,20,,90,35,50,70,50,50,40,45,,50,150
14:11,,,10,20,10,0,5,10,5,5,50,5,80,25,25,15,終日中止,10,10,30,10,20,10,5,50,30,0,0,20,0,15,,60,30,35,50,10,60,35,35,5,20,5,50,100,10,15,25,5,20,10,70,50,5,10,5,45,5,25,15,35,10,25,20,,90,35,50,70,50,50,40,45,,50,150
